timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-02-12,5.45,5.85,5.45,5.75,5.75,19143,0.0,1.0
2018-02-09,5.65,5.7,5.4,5.45,5.45,64873,0.0,1.0
2018-02-08,5.35,5.7,5.35,5.6,5.6,135591,0.0,1.0
2018-02-07,5.85,5.85,5.45,5.6,5.6,199479,0.0,1.0
2018-02-06,5.85,6.0,5.7,5.75,5.75,52587,0.0,1.0
2018-02-05,5.7,6.25,5.7,6.05,6.05,149319,0.0,1.0
2018-02-02,6.55,6.55,5.7,5.75,5.75,275436,0.0,1.0
2018-02-01,6.25,6.6,6.25,6.55,6.55,272001,0.0,1.0
2018-01-31,6.5,6.85,6.5,6.6,6.6,100403,0.0,1.0
2018-01-30,6.6,6.6,6.4,6.5,6.5,58836,0.0,1.0
2018-01-29,5.9,6.7,5.9,6.6,6.6,148186,0.0,1.0
2018-01-26,6.2,6.25,5.8,6.0,6.0,150283,0.0,1.0
2018-01-25,6.4,6.5562,6.15,6.2,6.2,113784,0.0,1.0
2018-01-24,7.4,7.55,6.0,6.5,6.5,424848,0.0,1.0
2018-01-23,7.75,7.8657,7.605,7.65,7.65,96661,0.0,1.0
2018-01-22,7.75,8.0,7.75,7.85,7.85,110933,0.0,1.0
2018-01-19,7.95,8.0,7.7,7.95,7.95,156540,0.0,1.0
2018-01-18,7.75,8.35,7.7,7.7,7.7,1640648,0.0,1.0
2018-01-17,8.75,8.75,7.3,7.95,7.95,18001,0.0,1.0
2018-01-16,8.95,8.95,8.25,8.55,8.55,16950,0.0,1.0
2018-01-12,9.95,10.0,9.25,9.3,9.3,18975,0.0,1.0
2018-01-11,9.05,9.25,9.05,9.15,9.15,7576,0.0,1.0
2018-01-10,9.1,9.15,9.1,9.15,9.15,810,0.0,1.0
2018-01-09,9.4,9.4,9.2,9.25,9.25,11286,0.0,1.0
2018-01-08,9.5,9.55,9.5,9.55,9.55,2025,0.0,1.0
2018-01-05,9.6,9.65,9.5,9.55,9.55,2091,0.0,1.0
2018-01-04,9.7,9.7275,9.65,9.65,9.65,3143,0.0,1.0
2018-01-03,9.75,9.8,9.75,9.775,9.775,6467,0.0,1.0
2018-01-02,9.9,9.995,9.7,9.7,9.7,6918,0.0,1.0
2017-12-29,9.95,9.95,9.75,9.8,9.8,3190,0.0,1.0
2017-12-28,9.95,9.95,9.725,9.75,9.75,6597,0.0,1.0
2017-12-27,10.3,10.4,9.9,10.0,10.0,4442,0.0,1.0
2017-12-26,9.75,10.0,9.75,9.9,9.9,4968,0.0,1.0
2017-12-22,10.0,10.0,9.85,9.9,9.9,4829,0.0,1.0
2017-12-21,10.8,11.025,9.9,10.0,10.0,13091,0.0,1.0
2017-12-20,11.3,12.15,10.75,10.8,10.8,6041,0.0,1.0
2017-12-19,10.4,10.65,10.15,10.5,10.5,12094,0.0,1.0
2017-12-18,9.45,10.5,9.45,10.25,10.25,9053,0.0,1.0
2017-12-15,9.1,9.4,9.0,9.4,9.4,40319,0.0,1.0
2017-12-14,9.966,9.975,9.0,9.15,9.15,20102,0.0,1.0
2017-12-13,9.0,9.75,8.9788,9.7,9.7,8122,0.0,1.0
2017-12-12,9.0,9.0,8.85,8.95,8.95,3230,0.0,1.0
2017-12-11,9.05,9.05,8.9,8.9,8.9,1189,0.0,1.0
2017-12-08,9.0,9.15,8.9,8.95,8.95,5715,0.0,1.0
2017-12-07,9.0,9.0,8.9,8.9,8.9,2020,0.0,1.0
2017-12-06,8.8,8.9,8.8,8.85,8.85,2240,0.0,1.0
2017-12-05,9.0,9.05,8.7,8.7,8.7,5997,0.0,1.0
2017-12-04,9.65,9.95,8.7,9.0,9.0,8538,0.0,1.0
2017-12-01,9.1,9.6,9.1,9.5,9.5,4732,0.0,1.0
2017-11-30,9.45,9.8,8.7,9.2,9.2,22161,0.0,1.0
2017-11-29,11.595,11.595,9.3,9.65,9.65,33136,0.0,1.0
2017-11-28,10.4,10.4,9.85,9.95,9.95,6520,0.0,1.0
2017-11-27,9.55,9.8,9.55,9.75,9.75,3653,0.0,1.0
2017-11-24,9.55,9.65,9.4,9.45,9.45,3825,0.0,1.0
2017-11-22,9.75,9.8,9.75,9.75,9.75,2579,0.0,1.0
2017-11-21,9.95,10.0,9.5,9.75,9.75,10256,0.0,1.0
2017-11-20,10.0,10.0,9.95,10.0,10.0,9648,0.0,1.0
2017-11-17,9.8,9.95,9.8,9.95,9.95,2826,0.0,1.0
2017-11-16,10.0,10.1,9.9,9.95,9.95,4310,0.0,1.0
2017-11-15,10.1,10.2,10.1,10.1,10.1,4448,0.0,1.0
2017-11-14,10.1,10.5,9.85,9.95,9.95,11918,0.0,1.0
2017-11-13,9.95,10.05,9.75,10.0,10.0,3409,0.0,1.0
2017-11-10,9.95,10.5,9.85,10.1,10.1,22842,0.0,1.0
2017-11-09,10.3,10.3,9.7,10.1,10.1,17413,0.0,1.0
2017-11-08,10.8,10.95,10.3,10.4,10.4,21145,0.0,1.0
2017-11-07,11.6,11.6,10.35,10.9,10.9,7723,0.0,1.0
2017-11-06,11.2,11.5,11.2,11.5,11.5,4305,0.0,1.0
2017-11-03,11.25,11.4,11.15,11.2,11.2,12004,0.0,1.0
2017-11-02,11.3,11.5,10.95,11.2,11.2,15429,0.0,1.0
2017-11-01,11.45,11.5,11.25,11.3,11.3,5306,0.0,1.0
2017-10-31,11.25,11.675,11.1,11.45,11.45,27603,0.0,1.0
2017-10-30,11.2,11.4,10.75,11.2,11.2,14566,0.0,1.0
2017-10-27,11.2,11.45,11.15,11.15,11.15,5909,0.0,1.0
2017-10-26,11.35,11.35,11.15,11.25,11.25,5510,0.0,1.0
2017-10-25,11.55,11.75,11.25,11.5,11.5,7444,0.0,1.0
2017-10-24,12.05,12.225,11.45,11.5,11.5,21338,0.0,1.0
2017-10-23,13.05,13.05,12.0,12.0,12.0,16462,0.0,1.0
2017-10-20,13.15,13.3,12.75,13.1,13.1,10298,0.0,1.0
2017-10-19,13.05,13.35,13.0,13.15,13.15,13384,0.0,1.0
2017-10-18,12.65,12.95,12.65,12.75,12.75,5037,0.0,1.0
2017-10-17,13.5,13.55,12.45,12.6,12.6,17930,0.0,1.0
2017-10-16,13.25,13.25,12.95,13.2,13.2,7024,0.0,1.0
2017-10-13,13.0,13.35,13.0,13.2,13.2,20100,0.0,1.0
2017-10-12,12.55,12.85,12.4,12.7,12.7,23203,0.0,1.0
2017-10-11,12.55,12.7,12.25,12.45,12.45,16003,0.0,1.0
2017-10-10,12.8,12.9,12.35,12.45,12.45,20137,0.0,1.0
2017-10-09,13.25,13.25,12.6,12.65,12.65,8500,0.0,1.0
2017-10-06,12.8,13.05,12.55,12.8,12.8,11868,0.0,1.0
2017-10-05,13.05,13.25,12.75,13.1,13.1,46547,0.0,1.0
2017-10-04,13.15,13.2,12.95,13.0,13.0,30436,0.0,1.0
2017-10-03,13.15,13.3,12.5,13.0,13.0,37896,0.0,1.0
2017-10-02,13.35,14.0,13.15,13.2,13.2,11667,0.0,1.0
2017-09-29,13.3,13.55,13.2,13.25,13.25,24108,0.0,1.0
2017-09-28,13.15,13.45,12.7,13.35,13.35,24090,0.0,1.0
2017-09-27,13.5,13.5,13.05,13.45,13.45,41282,0.0,1.0
2017-09-26,13.35,13.5,13.25,13.4,13.4,9098,0.0,1.0
2017-09-25,13.6,13.6,13.25,13.4,13.4,51342,0.0,1.0
2017-09-22,13.35,13.9,13.35,13.6,13.6,12302,0.0,1.0
2017-09-21,13.35,13.4,13.2,13.3,13.3,4701,0.0,1.0
2017-09-20,13.6,13.6,13.15,13.25,13.25,47805,0.0,1.0
2017-09-19,13.555,13.625,13.2,13.6,13.6,35074,0.0,1.0
2017-09-18,13.05,13.65,13.05,13.4,13.4,28039,0.0,1.0
2017-09-15,13.05,13.3,12.85,13.15,13.15,86558,0.0,1.0
2017-09-14,12.75,13.05,12.6,13.0,13.0,10333,0.0,1.0
2017-09-13,12.5,12.6,12.45,12.6,12.6,20374,0.0,1.0
2017-09-12,12.695,12.7,12.4,12.45,12.45,11206,0.0,1.0
2017-09-11,12.2,12.7,12.2,12.65,12.65,11031,0.0,1.0
2017-09-08,11.95,12.55,11.95,12.2,12.2,15247,0.0,1.0
2017-09-07,12.35,12.35,11.6,12.05,12.05,75267,0.0,1.0
2017-09-06,12.2,12.7,12.2,12.35,12.35,22729,0.0,1.0
2017-09-05,12.0,12.5,11.8,12.0,12.0,19513,0.0,1.0
2017-09-01,11.3,11.95,11.15,11.75,11.75,26276,0.0,1.0
2017-08-31,11.25,11.45,10.9548,11.1,11.1,28083,0.0,1.0
2017-08-30,10.65,10.95,10.65,10.85,10.85,7378,0.0,1.0
2017-08-29,10.95,11.0,10.8,10.95,10.95,6227,0.0,1.0
2017-08-28,11.0,11.2,10.95,10.95,10.95,4211,0.0,1.0
2017-08-25,11.45,11.45,10.9,11.0,11.0,2793,0.0,1.0
2017-08-24,11.65,12.05,10.9,11.0,11.0,21770,0.0,1.0
2017-08-23,10.4,11.85,10.4,11.5,11.5,35763,0.0,1.0
2017-08-22,10.3,10.85,10.3,10.5,10.5,11934,0.0,1.0
2017-08-21,10.0,10.35,10.0,10.15,10.15,3078,0.0,1.0
2017-08-18,10.0,10.2,9.85,10.15,10.15,8081,0.0,1.0
2017-08-17,10.4,10.4,9.6,10.25,10.25,6880,0.0,1.0
2017-08-16,10.7,10.7,10.15,10.25,10.25,7496,0.0,1.0
2017-08-15,10.65,10.65,10.15,10.45,10.45,3425,0.0,1.0
2017-08-14,10.6,10.9,10.1,10.7,10.7,19590,0.0,1.0
2017-08-11,10.2,10.2,10.0,10.15,10.15,2676,0.0,1.0
2017-08-10,10.0,10.1,9.85,10.1,10.1,6406,0.0,1.0
2017-08-09,9.9,10.3,9.9,10.0,10.0,14362,0.0,1.0
2017-08-08,10.05,11.1,10.05,10.2,10.2,15240,0.0,1.0
2017-08-07,9.35,10.05,9.35,10.05,10.05,3066,0.0,1.0
2017-08-04,9.55,10.1,9.5,10.1,10.1,5575,0.0,1.0
2017-08-03,10.55,10.9,9.5,9.7,9.7,28237,0.0,1.0
2017-08-02,11.25,11.25,10.5,10.7,10.7,10617,0.0,1.0
2017-08-01,11.2,11.45,11.2,11.45,11.45,1309,0.0,1.0
2017-07-31,10.95,11.65,10.95,11.15,11.15,8022,0.0,1.0
2017-07-28,11.6,11.65,11.0,11.05,11.05,12874,0.0,1.0
2017-07-27,11.35,12.1,11.3,11.5,11.5,20045,0.0,1.0
2017-07-26,12.15,12.15,11.45,11.6,11.6,14628,0.0,1.0
2017-07-25,12.15,12.15,12.05,12.05,12.05,12602,0.0,1.0
2017-07-24,11.95,12.3,11.95,12.15,12.15,3467,0.0,1.0
2017-07-21,12.2,12.6,11.775,12.1,12.1,10011,0.0,1.0
2017-07-20,11.8,11.95,11.8,11.95,11.95,1491,0.0,1.0
2017-07-19,12.5,12.5,12.15,12.15,12.15,5508,0.0,1.0
2017-07-18,11.95,12.2,11.85,12.1,12.1,6077,0.0,1.0
2017-07-17,11.85,12.45,11.8,12.15,12.15,8499,0.0,1.0
2017-07-14,12.1,12.1,11.9,11.9,11.9,2892,0.0,1.0
2017-07-13,11.95,12.15,11.95,12.15,12.15,3211,0.0,1.0
2017-07-12,11.85,12.3,11.85,12.2,12.2,5741,0.0,1.0
2017-07-11,12.3,12.3,11.75,11.9,11.9,3320,0.0,1.0
2017-07-10,12.15,12.4,11.95,12.1,12.1,5485,0.0,1.0
2017-07-07,12.5,12.65,12.25,12.55,12.55,2751,0.0,1.0
2017-07-06,12.9,12.9,12.65,12.65,12.65,5037,0.0,1.0
2017-07-05,13.15,13.15,12.95,13.0,13.0,6094,0.0,1.0
2017-07-03,12.9,13.45,12.8,13.15,13.15,3426,0.0,1.0
2017-06-30,12.95,13.75,12.75,13.0,13.0,19049,0.0,1.0
2017-06-29,12.2,13.3,12.05,13.1,13.1,43302,0.0,1.0
2017-06-28,11.65,12.4,11.65,12.0,12.0,9510,0.0,1.0
2017-06-27,12.4,12.4,11.5,11.95,11.95,13874,0.0,1.0
2017-06-26,10.8,12.3,10.65,12.1,12.1,24144,0.0,1.0
2017-06-23,11.65,11.75,10.45,10.9,10.9,298535,0.0,1.0
2017-06-22,11.9,12.0,11.55,11.75,11.75,20766,0.0,1.0
2017-06-21,11.9,12.15,11.55,11.8,11.8,15042,0.0,1.0
2017-06-20,11.4,12.28,11.4,11.95,11.95,13917,0.0,1.0
2017-06-19,11.7,11.75,11.4,11.5,11.5,14943,0.0,1.0
2017-06-16,11.75,12.15,11.2,11.2,11.2,42278,0.0,1.0
2017-06-15,11.5,12.15,11.45,11.65,11.65,11525,0.0,1.0
2017-06-14,11.45,12.4,11.25,11.6,11.6,45746,0.0,1.0
2017-06-13,11.35,11.9,11.175,11.25,11.25,11316,0.0,1.0
2017-06-12,12.8,12.8,11.15,11.2,11.2,24179,0.0,1.0
2017-06-09,12.8,13.3,12.75,13.0,13.0,28553,0.0,1.0
2017-06-08,12.35,13.0,12.35,12.9,12.9,24960,0.0,1.0
2017-06-07,12.05,12.7,12.05,12.45,12.45,11898,0.0,1.0
2017-06-06,11.85,12.1,11.1,11.65,11.65,11423,0.0,1.0
2017-06-05,12.3858,12.3858,11.25,12.25,12.25,16994,0.0,1.0
2017-06-02,11.925,12.35,11.4,12.15,12.15,13699,0.0,1.0
2017-06-01,12.2,12.2,11.85,11.95,11.95,11224,0.0,1.0
2017-05-31,11.85,12.25,11.75,12.25,12.25,17739,0.0,1.0
2017-05-30,12.2,12.2,11.6,11.75,11.75,9028,0.0,1.0
2017-05-26,11.95,12.0,11.5,11.8,11.8,23762,0.0,1.0
2017-05-25,11.15,12.2,11.15,11.775,11.775,9550,0.0,1.0
2017-05-24,10.5,11.5,10.45,10.85,10.85,11991,0.0,1.0
2017-05-23,12.025,12.15,11.4,11.525,11.525,15896,0.0,1.0
2017-05-22,11.9,12.25,11.9,12.15,12.15,18437,0.0,1.0
2017-05-19,11.5,12.1,11.2,11.95,11.95,21207,0.0,1.0
2017-05-18,11.2,11.4,11.2,11.4,11.4,3626,0.0,1.0
2017-05-17,10.95,11.2,10.9,11.2,11.2,5488,0.0,1.0
2017-05-16,11.0,11.35,10.55,11.2,11.2,8579,0.0,1.0
2017-05-15,10.95,11.1,10.85,11.0,11.0,6447,0.0,1.0
2017-05-12,10.45,10.75,10.45,10.75,10.75,3413,0.0,1.0
2017-05-11,9.65,10.95,9.65,10.45,10.45,6063,0.0,1.0
2017-05-10,10.0,10.4,10.0,10.35,10.35,2891,0.0,1.0
2017-05-09,10.1,10.25,8.755,10.25,10.25,10914,0.0,1.0
2017-05-08,10.6,10.733,10.3,10.3,10.3,7813,0.0,1.0
2017-05-05,10.75,10.75,10.5,10.55,10.55,1932,0.0,1.0
2017-05-04,10.4,10.7,10.4,10.5,10.5,2297,0.0,1.0
2017-05-03,10.4,10.7,10.0,10.35,10.35,7721,0.0,1.0
2017-05-02,10.4,10.7,10.3,10.35,10.35,9982,0.0,1.0
2017-05-01,10.25,10.4,10.2,10.35,10.35,1311,0.0,1.0
2017-04-28,10.65,10.65,9.85,10.1,10.1,2859,0.0,1.0
2017-04-27,9.95,10.7,9.9,10.1,10.1,8940,0.0,1.0
2017-04-26,9.85,9.95,9.8025,9.9,9.9,3254,0.0,1.0
2017-04-25,9.85,9.9,9.75,9.9,9.9,2966,0.0,1.0
2017-04-24,9.8,9.85,9.75,9.85,9.85,1202,0.0,1.0
2017-04-21,9.8,9.85,9.625,9.85,9.85,8390,0.0,1.0
2017-04-20,9.7084,10.0,9.65,9.65,9.65,2828,0.0,1.0
2017-04-19,10.1,10.25,9.4,10.0,10.0,5837,0.0,1.0
2017-04-18,10.1,10.1,9.25,9.3,9.3,1597,0.0,1.0
2017-04-17,10.1,10.1,9.65,9.65,9.65,5233,0.0,1.0
2017-04-13,10.5,10.5,9.95,10.05,10.05,2639,0.0,1.0
2017-04-12,10.2,10.3,9.8,10.25,10.25,6701,0.0,1.0
2017-04-11,10.5,10.6,10.15,10.3,10.3,8712,0.0,1.0
2017-04-10,10.85,10.85,10.2,10.35,10.35,2218,0.0,1.0
2017-04-07,10.85,11.5,10.65,10.8,10.8,21819,0.0,1.0
2017-04-06,11.0,11.05,10.4,10.5,10.5,2584,0.0,1.0
2017-04-05,10.8795,10.8795,10.3,10.45,10.45,2618,0.0,1.0
2017-04-04,10.2738,10.5531,10.15,10.15,10.15,1193,0.0,1.0
2017-04-03,10.7,10.8,10.3,10.55,10.55,3562,0.0,1.0
2017-03-31,10.5,10.8,10.159,10.6,10.6,5517,0.0,1.0
2017-03-30,10.3,10.5,10.0,10.45,10.45,7231,0.0,1.0
2017-03-29,10.15,10.15,9.4,10.05,10.05,7333,0.0,1.0
2017-03-28,10.6,10.85,10.385,10.45,10.45,11390,0.0,1.0
2017-03-27,10.75,10.9,10.2,10.4,10.4,5446,0.0,1.0
2017-03-24,10.7,10.9,10.1,10.75,10.75,10954,0.0,1.0
2017-03-23,11.0,11.2,10.7,10.95,10.95,4751,0.0,1.0
2017-03-22,10.05,11.25,10.0,10.85,10.85,11555,0.0,1.0
2017-03-21,10.45,11.3,10.1,10.9,10.9,4886,0.0,1.0
2017-03-20,10.2,10.65,9.05,10.45,10.45,10302,0.0,1.0
2017-03-17,9.85,10.95,9.85,10.25,10.25,107845,0.0,1.0
2017-03-16,10.8,10.875,10.737,10.85,10.85,251246,0.0,1.0
2017-03-15,10.75,10.85,10.6,10.85,10.85,66093,0.0,1.0
2017-03-14,10.95,11.0,10.55,10.95,10.95,35528,0.0,1.0
2017-03-13,10.25,11.35,10.25,10.9,10.9,61125,0.0,1.0
2017-03-10,9.15,10.05,9.15,10.0,10.0,9537,0.0,1.0
2017-03-09,9.45,9.75,9.45,9.5,9.5,3608,0.0,1.0
2017-03-08,9.75,9.75,9.25,9.5,9.5,3296,0.0,1.0
2017-03-07,8.4,9.1,8.4,9.05,9.05,10334,0.0,1.0
2017-03-06,9.05,9.05,9.05,9.05,9.05,0,0.0,1.0
2017-03-03,9.05,9.05,9.05,9.05,9.05,697,0.0,1.0
2017-03-02,9.05,9.05,9.05,9.05,9.05,636,0.0,1.0
2017-03-01,9.05,9.05,9.05,9.05,9.05,623,0.0,1.0
2017-02-28,9.05,9.05,9.05,9.05,9.05,794,0.0,1.0
2017-02-27,8.75,9.0,8.75,8.95,8.95,1836,0.0,1.0
2017-02-24,8.35,8.35,8.35,8.35,8.35,0,0.0,1.0
2017-02-23,8.5,8.9,8.35,8.35,8.35,5273,0.0,1.0
2017-02-22,8.5,9.05,8.5,8.65,8.65,1621,0.0,1.0
2017-02-21,9.35,9.4,8.85,9.05,9.05,5036,0.0,1.0
2017-02-17,8.9,9.5,8.9,9.25,9.25,5196,0.0,1.0
2017-02-16,8.75,8.75,8.75,8.75,8.75,0,0.0,1.0
2017-02-15,8.45,8.75,8.105,8.75,8.75,4308,0.0,1.0
2017-02-14,8.6,8.95,8.4,8.95,8.95,1063,0.0,1.0
2017-02-13,8.5,8.5,8.5,8.5,8.5,0,0.0,1.0
2017-02-10,8.35,8.7,8.15,8.5,8.5,34781,0.0,1.0
2017-02-09,8.2,8.5,8.15,8.15,8.15,2369,0.0,1.0
2017-02-08,8.0,8.35,8.0,8.15,8.15,9108,0.0,1.0
2017-02-07,8.15,8.2,7.825,8.0,8.0,17537,0.0,1.0
2017-02-06,8.1,8.2,8.1,8.15,8.15,2541,0.0,1.0
2017-02-03,8.1,8.3,8.1,8.2,8.2,2722,0.0,1.0
2017-02-02,8.15,8.25,8.125,8.15,8.15,4627,0.0,1.0
2017-02-01,7.95,8.2,7.95,8.2,8.2,9842,0.0,1.0
2017-01-31,7.8,7.9,7.8,7.9,7.9,1920,0.0,1.0
2017-01-30,7.7423,7.7423,7.6,7.65,7.65,809,0.0,1.0
2017-01-27,7.5,7.75,7.5,7.7,7.7,3646,0.0,1.0
2017-01-26,7.5,7.55,7.5,7.5,7.5,1507,0.0,1.0
2017-01-25,7.5,7.5,7.5,7.5,7.5,402,0.0,1.0
2017-01-24,7.5,7.6,7.45,7.56,7.56,5425,0.0,1.0
2017-01-23,7.5,7.55,7.4,7.5,7.5,15089,0.0,1.0
2017-01-20,7.4,7.5,7.4,7.5,7.5,27304,0.0,1.0
2017-01-19,7.5,7.7,7.3,7.3,7.3,42793,0.0,1.0
2017-01-18,7.5,7.8,7.45,7.45,7.45,4270,0.0,1.0
2017-01-17,7.4,7.6,7.4,7.5,7.5,2400,0.0,1.0
2017-01-13,7.55,7.55,7.55,7.55,7.55,0,0.0,1.0
2017-01-12,7.5,7.65,7.5,7.55,7.55,10388,0.0,1.0
2017-01-11,7.55,7.55,7.3,7.35,7.35,1400,0.0,1.0
2017-01-10,7.5,7.7,7.5,7.5,7.5,23550,0.0,1.0
2017-01-09,7.95,8.0,7.505,8.0,8.0,5250,0.0,1.0
2017-01-06,8.1,8.1,7.9,7.9,7.9,641,0.0,1.0
2017-01-05,8.2,8.2,7.5,7.97,7.97,13573,0.0,1.0
2017-01-04,8.4,8.4,7.85,7.85,7.85,15335,0.0,1.0
2017-01-03,7.75,8.0,7.2715,8.0,8.0,25914,0.0,1.0
2016-12-30,8.1,8.45,7.5,8.45,8.45,80924,0.0,1.0
2016-12-29,8.25,8.25,7.5,8.1,8.1,13988,0.0,1.0
